LSOA code (2011),LSOA name (2011),Local Authority District code (2019),Local Authority District name (2019),Index of Multiple Deprivation (IMD) Rank,Index of Multiple Deprivation (IMD) Decile
E01020398,East Dorset 005B,E06000059,Dorset,"18,231",6
E01020507,West Dorset 007A,E06000059,Dorset,"18,171",6
E01015355,Bournemouth 007C,E06000058,"Bournemouth, Christchurch and Poole","18,073",6
E01020484,Purbeck 006G,E06000059,Dorset,"18,033",6
E01020368,Christchurch 006E,E06000058,"Bournemouth, Christchurch and Poole","18,001",6
E01033283,Bournemouth 019G,E06000058,"Bournemouth, Christchurch and Poole","17,949",6
E01020445,North Dorset 005B,E06000059,Dorset,"17,930",6
E01020586,Weymouth and Portland 007A,E06000059,Dorset,"17,712",6
E01015349,Bournemouth 004B,E06000058,"Bournemouth, Christchurch and Poole","17,679",6
E01015363,Bournemouth 014E,E06000058,"Bournemouth, Christchurch and Poole","17,601",6
E01020510,West Dorset 004B,E06000059,Dorset,"17,586",6
E01033159,North Dorset 006F,E06000059,Dorset,"17,578",6
E01020516,West Dorset 012E,E06000059,Dorset,"17,532",6
E01015353,Bournemouth 004E,E06000058,"Bournemouth, Christchurch and Poole","17,513",6
E01020467,Purbeck 005B,E06000059,Dorset,"17,481",6
E01020453,North Dorset 006C,E06000059,Dorset,"17,365",6
E01015286,Bournemouth 017C,E06000058,"Bournemouth, Christchurch and Poole","17,355",6
E01015336,Bournemouth 007B,E06000058,"Bournemouth, Christchurch and Poole","17,352",6
E01020447,North Dorset 001B,E06000059,Dorset,"17,341",6
E01020476,Purbeck 003A,E06000059,Dorset,"17,265",6
E01020439,North Dorset 007E,E06000059,Dorset,"17,123",6
E01015361,Bournemouth 014C,E06000058,"Bournemouth, Christchurch and Poole","17,118",6
E01020448,North Dorset 008E,E06000059,Dorset,"17,080",6
E01020494,West Dorset 003A,E06000059,Dorset,"17,048",6
E01020442,North Dorset 006A,E06000059,Dorset,"17,040",6
E01020547,West Dorset 001F,E06000059,Dorset,"17,009",6
E01020433,North Dorset 004A,E06000059,Dorset,"16,949",6
E01020527,West Dorset 009D,E06000059,Dorset,"16,895",6
E01015410,Poole 005D,E06000058,"Bournemouth, Christchurch and Poole","16,820",6
E01015366,Bournemouth 018E,E06000058,"Bournemouth, Christchurch and Poole","16,795",6
E01020541,West Dorset 002C,E06000059,Dorset,"16,645",6
E01020432,North Dorset 008C,E06000059,Dorset,"16,589",6
E01015402,Poole 018A,E06000058,"Bournemouth, Christchurch and Poole","16,557",6
E01020441,North Dorset 008D,E06000059,Dorset,"16,482",6
E01020531,West Dorset 007C,E06000059,Dorset,"16,457",6
E01015291,Bournemouth 021E,E06000058,"Bournemouth, Christchurch and Poole","16,452",6
E01015331,Bournemouth 013B,E06000058,"Bournemouth, Christchurch and Poole","16,386",5
E01020534,West Dorset 003F,E06000059,Dorset,"16,328",5
E01015380,Poole 007A,E06000058,"Bournemouth, Christchurch and Poole","16,320",5
E01020529,West Dorset 004C,E06000059,Dorset,"16,264",5
E01032660,Poole 015G,E06000058,"Bournemouth, Christchurch and Poole","16,257",5
E01020528,West Dorset 009E,E06000059,Dorset,"16,170",5
E01020466,Purbeck 005A,E06000059,Dorset,"16,150",5
E01020452,North Dorset 006B,E06000059,Dorset,"16,056",5
E01015377,Bournemouth 009E,E06000058,"Bournemouth, Christchurch and Poole","16,000",5
E01020562,Weymouth and Portland 009A,E06000059,Dorset,"15,997",5
E01015435,Poole 002B,E06000058,"Bournemouth, Christchurch and Poole","15,937",5
E01020397,East Dorset 001D,E06000059,Dorset,"15,809",5
E01020462,North Dorset 002D,E06000059,Dorset,"15,688",5
E01015421,Poole 006E,E06000058,"Bournemouth, Christchurch and Poole","15,661",5
E01015417,Poole 006A,E06000058,"Bournemouth, Christchurch and Poole","15,524",5
E01020587,Weymouth and Portland 007B,E06000059,Dorset,"15,514",5
E01015296,Bournemouth 020B,E06000058,"Bournemouth, Christchurch and Poole","15,496",5
E01015393,Poole 010D,E06000058,"Bournemouth, Christchurch and Poole","15,483",5
E01015317,Bournemouth 014B,E06000058,"Bournemouth, Christchurch and Poole","15,473",5
E01020472,Purbeck 002B,E06000059,Dorset,"15,424",5
E01020485,Purbeck 003C,E06000059,Dorset,"15,410",5
E01020490,Purbeck 004B,E06000059,Dorset,"15,392",5
E01020517,West Dorset 007B,E06000059,Dorset,"15,356",5
E01020577,Weymouth and Portland 005C,E06000059,Dorset,"15,298",5
E01015461,Poole 013C,E06000058,"Bournemouth, Christchurch and Poole","15,261",5
E01020363,Christchurch 005D,E06000058,"Bournemouth, Christchurch and Poole","15,235",5
E01020469,Purbeck 001B,E06000059,Dorset,"15,176",5
E01020431,North Dorset 008B,E06000059,Dorset,"15,154",5
E01015427,Poole 014A,E06000058,"Bournemouth, Christchurch and Poole","15,147",5
E01015358,Bournemouth 007E,E06000058,"Bournemouth, Christchurch and Poole","15,016",5
E01020456,North Dorset 003C,E06000059,Dorset,"14,956",5
E01015274,Bournemouth 018A,E06000058,"Bournemouth, Christchurch and Poole","14,905",5
E01020443,North Dorset 001A,E06000059,Dorset,"14,795",5
E01020389,East Dorset 001C,E06000059,Dorset,"14,771",5
E01015301,Bournemouth 001A,E06000058,"Bournemouth, Christchurch and Poole","14,657",5
E01020459,North Dorset 004E,E06000059,Dorset,"14,551",5
E01020503,West Dorset 008B,E06000059,Dorset,"14,465",5
E01015334,Bournemouth 003C,E06000058,"Bournemouth, Christchurch and Poole","14,344",5
E01020410,East Dorset 005D,E06000059,Dorset,"14,201",5
E01015444,Poole 008F,E06000058,"Bournemouth, Christchurch and Poole","14,170",5
E01020530,West Dorset 003E,E06000059,Dorset,"14,051",5
E01020500,West Dorset 006C,E06000059,Dorset,"14,034",5
E01015329,Bournemouth 015E,E06000058,"Bournemouth, Christchurch and Poole","13,983",5
E01020364,Christchurch 006C,E06000058,"Bournemouth, Christchurch and Poole","13,975",5
E01015365,Bournemouth 018D,E06000058,"Bournemouth, Christchurch and Poole","13,860",5
E01020353,Christchurch 002C,E06000058,"Bournemouth, Christchurch and Poole","13,815",5
E01020471,Purbeck 002A,E06000059,Dorset,"13,669",5
E01020512,West Dorset 012A,E06000059,Dorset,"13,647",5
E01015456,Poole 011D,E06000058,"Bournemouth, Christchurch and Poole","13,635",5
E01015372,Bournemouth 023B,E06000058,"Bournemouth, Christchurch and Poole","13,567",5
E01020412,East Dorset 003B,E06000059,Dorset,"13,434",5
E01020565,Weymouth and Portland 009C,E06000059,Dorset,"13,414",5
E01020454,North Dorset 003A,E06000059,Dorset,"13,189",5
E01015441,Poole 008C,E06000058,"Bournemouth, Christchurch and Poole","13,176",5
E01015375,Bournemouth 009D,E06000058,"Bournemouth, Christchurch and Poole","13,151",5
E01020489,Purbeck 004A,E06000059,Dorset,"13,098",4
E01020483,Purbeck 006F,E06000059,Dorset,"13,088",4
E01015346,Bournemouth 012B,E06000058,"Bournemouth, Christchurch and Poole","12,994",4
E01015327,Bournemouth 015D,E06000058,"Bournemouth, Christchurch and Poole","12,978",4
E01020536,West Dorset 007D,E06000059,Dorset,"12,921",4
E01020535,West Dorset 005D,E06000059,Dorset,"12,899",4
E01015275,Bournemouth 016C,E06000058,"Bournemouth, Christchurch and Poole","12,847",4
E01020438,North Dorset 007D,E06000059,Dorset,"12,782",4
E01020411,East Dorset 003A,E06000059,Dorset,"12,639",4
E01015285,Bournemouth 021A,E06000058,"Bournemouth, Christchurch and Poole","12,504",4
E01020488,Purbeck 003F,E06000059,Dorset,"12,404",4
E01020584,Weymouth and Portland 006B,E06000059,Dorset,"12,392",4
E01015339,Bournemouth 008B,E06000058,"Bournemouth, Christchurch and Poole","12,378",4
E01020427,East Dorset 010B,E06000059,Dorset,"12,165",4
E01015345,Bournemouth 013C,E06000058,"Bournemouth, Christchurch and Poole","12,130",4
E01015382,Poole 007C,E06000058,"Bournemouth, Christchurch and Poole","12,123",4
E01020444,North Dorset 005A,E06000059,Dorset,"12,053",4
E01015423,Poole 016A,E06000058,"Bournemouth, Christchurch and Poole","12,045",4
E01015343,Bournemouth 004A,E06000058,"Bournemouth, Christchurch and Poole","12,033",4
E01015390,Poole 010A,E06000058,"Bournemouth, Christchurch and Poole","12,001",4
E01020394,East Dorset 008E,E06000059,Dorset,"11,991",4
E01020396,East Dorset 005A,E06000059,Dorset,"11,987",4
