LSOA code (2011),LSOA name (2011),Local Authority District code (2019),Local Authority District name (2019),Index of Multiple Deprivation (IMD) Rank,Index of Multiple Deprivation (IMD) Decile
E01015279,Bournemouth 019B,E06000058,"Bournemouth, Christchurch and Poole","3,033",1
E01015338,Bournemouth 008A,E06000058,"Bournemouth, Christchurch and Poole","2,993",1
E01015384,Poole 007E,E06000058,"Bournemouth, Christchurch and Poole","2,697",1
E01015309,Bournemouth 005B,E06000058,"Bournemouth, Christchurch and Poole","2,462",1
E01015307,Bournemouth 005A,E06000058,"Bournemouth, Christchurch and Poole","2,322",1
E01015312,Bournemouth 005C,E06000058,"Bournemouth, Christchurch and Poole","2,320",1
E01020575,Weymouth and Portland 003B,E06000059,Dorset,"2,076",1
E01020569,Weymouth and Portland 008D,E06000059,Dorset,"2,073",1
E01015281,Bournemouth 019D,E06000058,"Bournemouth, Christchurch and Poole","1,528",1
E01020555,Weymouth and Portland 004C,E06000059,Dorset,"1,524",1
E01020552,Weymouth and Portland 001B,E06000059,Dorset,"1,396",1
E01020554,Weymouth and Portland 004B,E06000059,Dorset,"1,142",1
E01015282,Bournemouth 019E,E06000058,"Bournemouth, Christchurch and Poole",528,1
